1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
5,9,15,18,20,26,27,32,34,35,35,36,37,37,37,38,39,39,40,40,41,42,43,46,50,50,51,51,51,51,52,52,52,53,53,53,55,58,58,59,60,60,60,61,61,62,63,64,65,65,65,65,66,66,67,68,68,69,69,69,69,70,70,71,1
7,15,16,19,20,23,25,25,26,28,31,31,31,33,33,34,35,35,35,35,36,37,37,37,37,38,39,39,40,40,41,41,42,44,45,45,47,47,47,47,48,48,49,49,49,51,52,53,55,55,56,56,57,57,58,58,58,60,61,61,61,61,61,62,1
,8,12,17,20,20,21,25,26,26,28,29,29,31,32,32,33,34,35,35,35,36,37,39,39,40,40,41,42,47,48,49,50,51,51,51,52,52,56,56,57,58,59,60,61,62,62,62,63,64,64,66,66,67,67,69,71,71,72,72,73,73,73,75,1
3,7,11,13,13,16,23,24,27,27,29,29,30,31,34,36,38,38,38,40,40,40,41,41,44,44,44,45,46,47,48,48,48,50,51,52,55,55,55,56,56,57,57,58,58,58,58,59,59,60,60,61,62,62,63,64,64,65,65,65,66,66,66,66,1
5,7,7,12,13,18,18,19,20,25,28,28,31,32,33,33,33,36,37,38,39,42,42,42,42,43,44,44,45,45,45,47,47,49,50,51,53,53,54,55,55,56,56,56,56,59,59,60,61,62,62,62,65,66,66,67,68,68,68,68,69,69,70,70,1
7,21,22,22,23,23,24,25,28,29,31,31,33,33,33,33,34,35,37,37,39,39,40,40,40,40,41,42,42,42,43,44,45,45,45,46,46,46,48,48,48,49,49,52,52,53,55,55,57,58,60,60,61,61,62,64,66,66,66,66,68,68,68,69,1
4,5,8,13,17,20,21,22,26,30,31,32,33,34,35,36,36,37,37,38,38,38,39,39,43,43,43,44,45,45,47,47,47,48,49,49,49,50,50,51,51,51,52,53,54,54,54,55,55,55,56,57,58,58,58,59,60,60,60,60,61,61,63,64,1
7,13,17,18,19,20,20,21,25,25,27,27,28,29,31,36,36,36,39,41,41,42,42,43,45,45,46,46,47,47,48,50,50,50,51,52,54,56,56,57,59,59,60,60,60,61,62,63,64,66,66,66,68,69,69,70,70,71,71,71,72,72,72,73,1
7,11,13,14,14,15,18,19,20,20,21,24,26,26,33,37,39,40,43,44,45,47,49,49,49,50,51,51,52,53,53,54,54,54,55,58,58,58,58,59,59,59,61,61,62,63,63,65,66,66,68,69,69,70,70,70,70,73,74,75,77,77,77,77,1
9,11,19,21,21,21,24,25,26,27,27,28,31,34,38,41,41,41,43,43,43,43,44,44,45,45,46,47,47,48,49,50,50,51,51,51,52,53,54,54,55,55,56,57,58,59,59,59,60,61,61,63,63,63,64,64,64,65,66,66,67,68,68,69,1
