1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
55,94,158,185,204,269,275,329,346,357,358,364,374,375,376,381,391,395,401,405,418,420,437,462,502,503,510,514,515,516,521,525,1
78,152,169,199,209,234,253,256,268,282,311,318,319,332,337,344,353,354,357,360,365,370,376,378,378,388,393,396,401,405,413,418,1
1,85,127,171,200,205,212,257,267,269,280,291,291,315,324,328,334,344,350,353,357,362,378,393,398,400,406,414,428,472,480,493,1
38,74,115,135,138,167,232,241,273,274,291,297,305,315,343,368,384,387,388,400,405,408,417,418,441,446,447,459,465,476,487,489,1
52,73,79,121,132,185,189,191,209,251,280,282,319,326,330,331,337,361,372,388,395,427,428,428,428,436,440,447,454,454,459,477,1
73,212,222,222,230,232,246,259,281,297,310,317,333,333,333,337,349,354,372,376,392,392,401,401,403,404,413,426,428,429,437,448,1
49,51,82,134,174,202,210,223,265,307,310,322,338,344,358,360,365,370,378,385,388,389,395,397,433,435,437,449,450,459,471,477,1
72,132,176,181,199,207,209,217,255,256,270,276,280,293,317,367,367,369,397,418,418,425,429,438,457,459,463,467,475,476,484,503,1
77,113,134,141,146,155,189,193,203,209,216,242,260,265,330,370,393,409,431,445,450,475,492,494,495,503,514,519,529,530,537,545,1
91,110,190,212,215,219,241,252,261,277,278,285,313,344,380,413,414,418,431,434,435,436,442,447,454,454,464,478,478,480,497,500,1
16,66,77,126,127,147,179,196,200,239,252,259,302,305,316,329,332,351,360,364,384,396,401,402,403,403,417,446,448,451,456,469,1
70,77,81,101,149,163,165,165,214,218,240,252,266,268,272,283,297,311,329,338,356,380,381,385,392,395,395,402,407,421,423,440,1
93,111,130,132,147,177,184,242,245,260,286,294,309,312,319,319,338,338,366,368,383,395,398,401,408,423,431,448,458,458,465,469,1
27,30,80,85,161,164,172,172,185,187,202,205,223,225,248,251,278,306,310,318,318,329,348,349,351,352,363,366,367,368,378,380,1
116,118,123,130,158,180,198,199,221,263,268,289,294,310,310,314,316,320,337,344,349,359,369,386,405,407,427,434,467,474,475,476,1
121,171,181,202,233,239,251,260,309,326,330,331,353,358,365,366,368,377,379,382,399,404,434,448,449,451,458,473,475,482,488,489,1
101,132,169,182,191,199,203,225,240,265,287,290,303,331,340,347,357,386,387,403,406,409,417,445,449,455,467,474,491,493,493,500,1
42,103,120,148,217,219,225,235,247,271,280,285,292,311,315,329,331,341,343,354,379,382,389,392,420,424,434,437,443,444,446,447,1
127,167,211,227,229,241,243,245,247,256,288,289,291,293,304,307,324,329,335,336,358,365,375,384,385,388,422,425,431,436,442,447,1
69,118,133,184,194,206,236,238,240,264,284,297,313,317,322,323,333,368,388,399,403,411,413,429,451,456,461,465,484,498,500,505,1
99,125,145,179,188,199,219,221,235,242,243,274,278,282,290,301,322,336,346,360,364,375,379,419,422,467,471,484,486,490,495,509,1
8,66,88,164,183,188,199,202,202,217,221,230,242,258,271,284,305,317,318,330,340,346,360,369,370,372,379,381,399,402,417,418,1
85,107,148,165,169,172,177,232,234,263,265,282,305,310,310,325,327,331,341,363,377,388,401,431,449,461,474,479,485,495,500,511,1
79,113,157,168,174,184,204,207,213,229,243,244,262,271,271,284,289,295,307,326,340,346,353,357,359,366,375,379,417,420,426,464,1
21,22,46,87,95,131,148,155,165,184,196,200,208,211,212,245,254,273,274,286,290,293,323,333,334,345,371,385,400,406,413,425,1
161,194,215,229,269,273,277,293,295,302,337,342,369,376,378,383,406,415,425,431,437,442,449,449,497,504,511,513,515,518,536,546,1
69,120,186,193,200,211,214,232,242,243,245,252,270,287,320,328,330,338,339,350,379,402,419,421,425,425,427,434,436,446,448,468,1
110,128,130,200,226,232,248,256,258,302,310,323,328,332,334,337,346,348,362,367,371,380,405,412,415,424,427,429,433,435,457,461,1
71,114,153,183,183,197,209,259,264,279,288,290,297,302,313,325,338,341,359,400,427,448,454,460,465,496,507,532,544,556,558,563,1
17,54,71,103,106,125,139,155,159,159,170,197,202,207,211,233,244,245,248,255,263,284,285,295,301,310,312,313,331,355,357,362,1
116,119,119,127,135,136,141,154,158,190,208,212,216,224,237,272,273,317,330,337,342,345,364,383,406,410,411,460,469,469,478,480,1
58,84,90,108,161,172,196,250,265,306,351,357,365,378,400,425,428,428,433,437,440,441,454,456,460,469,489,490,491,499,500,509,1
18,18,55,91,111,123,140,164,171,177,178,185,191,210,229,246,261,265,275,307,320,337,337,343,360,363,363,374,401,407,414,416,1
53,113,144,168,172,182,186,216,254,263,300,317,328,345,379,387,396,399,401,402,404,406,407,418,427,427,428,434,472,478,484,487,1
9,15,48,70,150,205,241,263,296,301,320,333,337,342,362,386,386,410,411,438,447,452,457,483,493,496,496,537,537,540,566,571,1
141,155,157,162,211,251,280,294,337,340,388,413,424,427,445,470,473,478,514,518,518,527,537,544,574,581,581,584,591,600,601,605,1
