1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
55,94,1583,1851,204,2692,2759,3295,3466,3579,3582,3649,3742,3758,3762,3816,3918,3952,4017,4056,4184,4209,4374,4627,5020,5037,5103,5143,515,5163,5216,5250,5278,5333,5349,5377,5547,5827,5862,5933,6041,6055,6059,6120,6169,6291,6357,6496,6508,6550,6554,6566,6604,6636,6797,6816,6818,6927,6969,697,6975,7012,705,7136,1
78,1529,1690,199,2091,2347,2537,2562,2687,282,3118,3184,3197,3323,3370,3442,353,3542,357,360,3654,3709,3764,3784,3786,3887,3935,3964,4014,4054,4133,4184,4274,4435,4512,4550,4703,4706,4717,4739,4836,4858,4904,4960,4991,5161,5299,5302,5504,5573,5637,5654,5733,5799,5829,5890,5896,6018,6103,6138,6155,6190,6193,6241,1
16,85,1278,1718,2009,2057,2126,2579,2679,2693,2805,2913,2917,3159,3246,3280,3345,344,3503,3536,3579,362,378,3933,3983,4003,4066,4145,4280,4723,4802,4933,5040,5137,515,5192,5254,5254,5678,5679,5793,5866,5914,6065,6186,6215,6251,6282,6374,6401,6414,6614,6667,6711,6732,696,7148,7163,7224,7230,7352,7370,7370,7503,1
38,74,1151,1356,138,1678,2320,2412,2735,274,2919,2976,3053,3158,3437,3683,3843,387,3882,4005,4053,4086,4177,4180,4415,4465,4479,4598,4654,4769,487,4894,4899,5040,5130,520,5544,5572,5596,5642,5674,5703,5786,5844,5858,5869,5892,5945,5958,6050,6099,6154,6214,6274,6310,6458,6464,6517,6549,6597,6609,661,6635,6660,1
52,73,79,1217,132,185,1890,1916,2090,2519,2800,282,3191,3263,3309,3311,3378,3617,3725,3883,395,4277,428,428,4289,436,4407,4475,4545,4547,4596,4773,4799,4923,5013,5176,5356,5358,5407,5520,5571,564,5645,5688,5693,5944,5969,6084,6171,6218,6261,6272,6581,6648,6660,6751,6828,686,6871,6884,6927,6970,7037,7052,1
73,2125,2223,2226,230,2327,2465,2594,2812,2972,3104,3170,3331,3337,3339,3372,3499,3545,3720,3761,3922,3923,4016,4017,4039,4046,4135,4260,4288,4298,4371,4481,4532,4535,4599,464,4655,4691,4840,4852,489,4900,493,5270,5282,5325,5538,5573,5711,5849,6014,6034,6144,6167,6299,6465,6602,6610,6683,6698,6847,6849,689,6942,1
49,51,82,1341,174,2024,2108,2236,2651,3077,3100,3223,3386,3442,3581,3600,3657,370,3788,3854,3883,3898,3952,3971,4339,4350,4370,4498,450,4598,4716,4775,4785,4800,4905,4962,4989,5059,5064,5129,5136,5187,5278,5390,5424,5459,5472,5549,5550,555,5680,5748,5849,588,5887,5918,6041,605,609,6090,6118,6124,6362,6493,1
72,1329,1767,1810,199,2079,209,2174,2552,2565,2702,2769,2805,2931,3170,3678,3679,3698,3977,4180,4188,4258,4292,4388,457,4590,4639,467,475,476,4844,5030,505,5056,5162,525,548,5636,5680,5717,5927,5985,6019,6072,6081,6144,6242,6385,647,6630,6660,6673,6847,6913,6951,7010,7032,7117,7162,7185,725,725,7275,7304,1
77,1132,1347,1418,1463,155,1897,1936,2032,2099,2169,2421,2602,2653,3304,3701,3933,4094,4310,4454,4509,4753,4928,494,4956,5038,5143,5191,5298,530,5372,545,5454,5469,5575,5810,5836,5873,5885,5938,5945,5945,613,6178,6207,632,635,6529,6660,6660,6861,6920,6940,7006,7046,7059,7072,7376,7427,7561,7729,7734,773,7765,1
91,1106,1905,2124,2157,219,2414,2527,2616,2776,2788,285,313,3449,3809,4135,4145,4180,4318,4344,4351,4364,4424,4477,4543,4548,464,4787,4788,4804,4976,5009,5037,5157,517,5190,522,5397,5415,5458,5529,553,5649,5764,5802,596,5975,5982,6005,6109,6116,6349,6371,6392,6402,6403,646,6537,6639,6642,6784,6801,6832,6993,1
