1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
554,940,1584,1851,2046,2693,2760,3296,3467,3579,3583,3650,3742,3758,3763,3816,3919,3953,4018,4056,4184,4209,4374,4627,5020,5038,5104,5144,5158,5163,5216,5250,5278,5334,5350,5377,5548,5828,5863,5934,6041,6055,6059,6121,6170,6292,6358,6497,6508,6550,6555,6566,6605,6637,6797,6817,6818,6927,6969,6971,6975,7012,7057,7137,1
784,1529,1690,1994,2092,2347,2538,2563,2687,2826,3118,3184,3198,3323,3370,3442,3535,3542,3579,3600,3654,3709,3764,3784,3787,3887,3936,3964,4015,4054,4133,4184,4274,4435,4512,4551,4703,4706,4718,4739,4836,4858,4904,4960,4991,5161,5300,5303,5505,5573,5638,5655,5734,5799,5830,5890,5896,6019,6103,6138,6156,6191,6194,6242,1
16,857,1279,1719,2010,2058,2126,2580,2680,2694,2805,2913,2918,3159,3246,3280,3346,3442,3503,3537,3579,3629,3786,3933,3984,4004,4067,4145,4281,4723,4802,4934,5041,5138,5151,5193,5255,5255,5679,5680,5794,5867,5914,6065,6186,6216,6252,6282,6375,6402,6414,6615,6668,6711,6733,6962,7149,7164,7224,7231,7353,7370,7370,7504,1
384,743,1151,1356,1381,1678,2320,2412,2736,2742,2920,2976,3053,3159,3437,3683,3844,3879,3883,4006,4054,4086,4178,4180,4416,4466,4479,4598,4654,4770,4873,4895,4900,5041,5130,5204,5545,5573,5596,5642,5675,5704,5787,5845,5859,5870,5892,5945,5959,6051,6099,6154,6215,6274,6310,6459,6465,6518,6549,6597,6610,6611,6636,6661,1
529,735,795,1217,1323,1857,1890,1917,2091,2519,2801,2820,3191,3264,3309,3311,3379,3617,3725,3883,3957,4278,4280,4285,4289,4367,4408,4476,4546,4548,4596,4774,4800,4923,5014,5176,5357,5358,5408,5521,5571,5645,5646,5688,5694,5945,5970,6084,6172,6218,6262,6273,6581,6649,6661,6751,6829,6867,6871,6885,6928,6970,7038,7052,1
732,2126,2223,2226,2309,2327,2466,2595,2812,2973,3104,3170,3332,3337,3340,3372,3500,3545,3721,3761,3923,3923,4017,4017,4040,4047,4135,4260,4288,4299,4372,4482,4533,4535,4599,4641,4656,4692,4840,4852,4896,4900,4935,5271,5282,5326,5538,5574,5711,5849,6014,6034,6145,6168,6300,6466,6602,6610,6684,6698,6848,6850,6892,6943,1
495,513,824,1341,1740,2024,2108,2236,2652,3078,3101,3223,3387,3443,3582,3600,3658,3707,3788,3854,3883,3898,3953,3972,4339,4351,4370,4498,4509,4598,4716,4775,4786,4801,4906,4963,4989,5060,5064,5129,5136,5187,5278,5390,5425,5459,5473,5550,5550,5554,5681,5749,5850,5880,5887,5918,6042,6052,6090,6091,6118,6124,6363,6494,1
729,1329,1767,1810,1994,2080,2098,2174,2552,2566,2703,2770,2806,2931,3171,3679,3679,3699,3978,4181,4189,4258,4292,4388,4573,4591,4640,4673,4757,4760,4844,5030,5051,5057,5162,5258,5484,5636,5680,5717,5928,5985,6020,6072,6081,6145,6242,6385,6471,6631,6661,6674,6848,6913,6951,7010,7032,7118,7163,7186,7250,7258,7276,7305,1
777,1132,1348,1418,1464,1554,1898,1936,2032,2100,2170,2422,2602,2654,3304,3702,3934,4094,4311,4454,4509,4754,4929,4944,4957,5039,5144,5192,5298,5301,5372,5451,5454,5470,5575,5811,5837,5873,5885,5939,5945,5946,6134,6179,6207,6323,6350,6529,6660,6661,6862,6921,6940,7007,7046,7059,7072,7376,7427,7561,7730,7735,7736,7766,1
914,1107,1906,2125,2158,2197,2414,2528,2617,2777,2788,2855,3138,3450,3809,4136,4146,4181,4319,4345,4351,4365,4424,4478,4544,4548,4647,4788,4789,4804,4976,5010,5037,5158,5175,5191,5227,5398,5415,5458,5530,5530,5650,5764,5803,5968,5976,5983,6006,6110,6116,6350,6371,6393,6402,6403,6467,6538,6640,6643,6784,6802,6832,6993,1
168,660,773,1265,1276,1472,1791,1966,2005,2400,2524,2594,3021,3054,3169,3295,3321,3520,3603,3642,3843,3963,4013,4030,4035,4037,4175,4465,4481,4511,4567,4693,4815,4838,4978,5053,5322,5371,5401,5501,5581,5605,5611,5638,5681,5857,5909,5912,5998,6021,6058,6115,6184,6210,6308,6314,6333,6425,6478,6497,6533,6534,6569,6578,1
704,774,811,1013,1495,1632,1652,1653,2144,2185,2401,2526,2669,2688,2723,2836,2973,3119,3298,3382,3561,3809,3814,3859,3927,3950,3952,4026,4072,4215,4237,4402,4483,4575,4828,4871,5041,5049,5102,5193,5227,5243,5434,5458,5559,5567,5657,5681,5726,5731,5848,5883,5951,6116,6206,6226,6236,6283,6285,6481,6542,6556,6564,6616,1
931,1114,1305,1326,1471,1770,1846,2423,2459,2608,2870,2941,3093,3126,3192,3196,3387,3388,3664,3685,3836,3959,3985,4012,4085,4231,4311,4484,4580,4586,4657,4692,4862,4917,4963,5100,5327,5360,5458,5667,5832,5841,5891,5892,5894,6002,6007,6106,6112,6144,6209,6210,6225,6273,6360,6526,6575,6620,6629,6750,6762,6805,6826,6867,1
271,305,803,853,1618,1648,1722,1724,1853,1876,2028,2058,2236,2257,2483,2510,2783,3065,3105,3182,3187,3292,3487,3493,3519,3527,3638,3667,3672,3687,3781,3805,3808,3836,3958,3995,4097,4121,4172,4477,4491,4498,4515,4584,4626,4653,4965,5002,5103,5186,5255,5367,5418,5644,5737,5770,6066,6199,6212,6280,6281,6324,6425,6474,1
1162,1183,1235,1305,1582,1800,1984,1998,2220,2633,2683,2892,2947,3110,3110,3149,3170,3200,3379,3445,3493,3591,3699,3864,4056,4075,4274,4344,4679,4746,4756,4768,4840,5015,5026,5057,5184,5283,5505,5524,5555,5564,5587,5600,5601,5626,5684,5786,5816,5816,5846,5859,5942,5998,6054,6135,6295,6370,6399,6402,6445,6476,6595,6605,1
1219,1714,1820,2028,2334,2397,2513,2602,3094,3262,3306,3313,3531,3584,3655,3667,3690,3775,3792,3822,3995,4045,4348,4482,4494,4515,4582,4735,4759,4829,4882,4897,4931,4935,5110,5115,5138,5198,5231,5247,5352,5500,5608,5613,5664,5810,5829,5932,6014,6079,6215,6458,6645,6761,6771,6812,6830,7022,7025,7047,7140,7206,7277,7285,1
1013,1326,1699,1826,1911,2000,2039,2257,2400,2650,2870,2901,3039,3317,3406,3479,3576,3866,3872,4034,4065,4100,4175,4458,4499,4557,4678,4749,4916,4936,4938,5006,5035,5053,5088,5098,5207,5247,5250,5262,5286,5307,5324,5444,5514,5538,5674,5720,5724,5839,5935,5970,5993,6080,6140,6178,6241,6290,6353,6385,6422,6494,6635,6693,1
424,1031,1205,1480,2179,2194,2250,2355,2475,2716,2803,2852,2927,3115,3152,3295,3318,3414,3433,3550,3797,3825,3892,3927,4206,4242,4347,4376,4432,4444,4461,4475,4506,4569,4686,4719,4744,4808,4845,4989,5031,5162,5190,5199,5207,5210,5662,5786,5846,5905,5948,5995,6036,6059,6404,6430,6431,6442,6458,6563,6563,6582,6690,6716,1
1275,1674,2117,2273,2299,2418,2438,2451,2471,2567,2885,2892,2915,2934,3045,3071,3249,3297,3358,3361,3581,3651,3755,3843,3859,3887,4225,4250,4317,4367,4421,4479,4662,4759,4882,4887,4933,5009,5122,5233,5265,5480,5531,5592,5626,5892,5922,5927,5965,5975,5978,5992,6087,6208,6375,6376,6380,6415,6500,6636,6792,6843,6877,6928,1
697,1185,1339,1843,1943,2062,2364,2381,2406,2648,2848,2972,3134,3179,3224,3236,3339,3683,3880,3994,4030,4115,4136,4295,4517,4561,4620,4655,4843,4980,5005,5053,5162,5280,5296,5416,5532,5638,5714,5729,5806,5898,5935,5967,6072,6114,6124,6141,6192,6234,6254,6255,6431,6502,6520,6565,6741,6797,6853,6987,7017,7025,7064,7119,1
990,1257,1455,1793,1888,1999,2193,2213,2350,2426,2433,2743,2783,2820,2900,3011,3226,3369,3469,3602,3647,3758,3798,4190,4228,4678,4714,4844,4870,4906,4952,5095,5114,5260,5472,5509,5537,5826,5849,5850,5864,5944,6092,6124,6234,6367,6379,6414,6429,6467,6488,6566,6664,6665,6731,6739,6754,6917,6939,7092,7128,7134,7137,7181,1
88,667,889,1642,1838,1880,1999,2020,2027,2177,2216,2309,2427,2589,2718,2850,3054,3179,3189,3309,3409,3460,3605,3692,3709,3724,3794,3817,3996,4029,4172,4189,4195,4288,4311,4322,4438,4445,4450,4453,4506,4508,4563,4690,4717,4790,4875,5081,5230,5344,5379,5401,5474,5499,5511,5542,5640,5742,5766,5848,5928,6007,6068,6087,1
854,1076,1488,1657,1698,1722,1779,2320,2344,2635,2651,2825,3055,3105,3107,3254,3277,3314,3416,3630,3777,3883,4015,4310,4499,4614,4748,4799,4855,4959,5003,5113,5215,5443,5491,5625,5640,5664,5702,5745,5862,6089,6118,6129,6226,6323,6336,6356,6419,6497,6582,6608,6662,6671,6788,6855,6887,6918,6951,6971,7071,7095,7137,7146,1
