1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
27,58,61,75,49,20,1,20,4,29,8,39,2,3,1,0,11,1,8,6,7,3,8,2,2,6,0,3,0,3,2,2,0,0,1
28,52,71,43,47,24,1,21,2,33,7,21,3,2,2,0,9,0,13,4,4,3,6,0,1,1,0,4,0,6,3,4,0,0,1
29,59,74,73,50,22,2,20,4,31,10,30,5,4,1,0,14,3,7,6,1,0,9,1,2,1,1,1,1,6,2,4,0,0,1
31,58,84,97,61,36,2,29,3,37,4,40,4,3,1,0,6,2,4,4,5,2,5,0,1,1,0,2,0,1,1,2,0,1,1
30,59,86,79,59,29,0,14,6,26,6,26,1,3,2,0,10,1,11,2,4,3,8,0,2,0,0,5,2,6,1,3,0,1,1
36,70,110,110,69,29,4,20,4,32,7,39,1,0,5,0,7,0,4,2,6,0,5,0,3,1,0,0,0,4,1,1,0,0,1
32,48,52,40,30,12,1,3,2,14,2,28,2,1,0,0,5,1,7,1,4,2,11,0,2,0,0,1,0,1,3,2,1,1,1
40,70,119,118,64,32,3,23,6,28,8,28,6,1,1,0,7,1,8,5,2,1,2,1,0,1,0,0,1,3,3,3,0,0,1
32,59,86,80,65,27,1,16,5,33,15,41,7,5,4,0,9,1,8,3,5,1,9,0,0,1,0,2,0,0,2,2,0,0,1
26,60,79,69,43,18,0,12,5,29,8,50,6,2,2,0,9,1,10,8,9,4,9,1,3,1,0,1,0,2,1,2,0,0,1
31,65,110,112,59,34,1,17,7,23,7,42,8,5,0,0,5,1,3,8,2,0,4,0,2,0,0,2,0,4,1,2,1,1,1
33,63,115,110,61,28,2,17,7,27,4,48,6,4,0,0,3,1,4,6,2,0,8,0,2,0,0,2,0,4,1,1,1,0,1
31,61,116,110,68,29,0,17,5,37,8,34,6,7,2,0,7,1,5,5,6,1,7,2,0,0,0,0,1,0,0,1,0,0,1
30,76,99,112,65,26,1,18,5,43,10,30,3,2,2,0,8,2,6,6,4,0,5,0,0,2,0,1,0,0,0,1,1,0,1
29,55,93,74,43,34,3,19,5,35,10,54,3,4,1,0,5,3,12,6,5,0,8,1,0,1,0,0,2,1,0,1,0,0,1
34,69,108,97,65,22,5,16,7,25,7,50,6,0,4,0,10,2,8,5,2,1,7,0,0,0,0,0,0,1,1,2,0,0,1
23,57,95,109,56,35,1,15,7,40,7,44,4,1,3,0,9,0,5,5,7,2,4,0,0,0,0,1,0,2,0,3,0,0,1
33,75,106,115,69,30,4,19,9,29,9,54,2,2,3,0,1,1,5,3,2,1,2,0,0,1,0,1,0,3,1,1,1,0,1
29,78,102,101,57,25,4,19,3,24,14,46,3,2,1,0,6,1,6,6,8,3,3,2,1,0,1,1,0,3,0,0,0,0,1
38,53,96,86,68,40,2,26,10,18,3,37,5,1,0,0,9,3,9,7,3,1,4,2,1,2,2,1,0,2,1,2,1,0,1
16,18,18,9,2,3,0,0,2,4,1,9,0,1,1,0,4,1,1,1,6,3,6,3,5,2,6,2,3,16,6,15,5,8,1
15,43,32,32,15,2,0,7,6,9,2,6,2,1,0,0,4,0,0,0,2,2,4,1,1,2,2,1,1,3,4,7,0,1,1
26,48,55,17,19,9,0,6,2,13,1,16,1,0,0,0,3,3,2,3,4,1,10,0,0,0,0,2,1,5,6,5,2,0,1
18,45,57,44,15,12,2,9,1,21,7,18,0,2,3,0,3,0,4,3,5,2,6,1,2,2,0,0,1,5,0,4,5,1,1
30,75,80,49,40,18,1,11,6,17,4,27,3,2,0,0,8,2,8,1,9,3,7,0,2,1,0,2,1,7,3,4,2,2,1
17,25,31,15,19,4,0,6,1,4,3,4,2,0,0,0,2,0,3,0,0,1,0,0,0,1,2,0,0,3,7,8,8,6,1
37,53,65,52,26,14,2,11,3,20,4,23,0,2,1,0,5,2,4,1,3,1,6,0,0,1,0,3,0,6,2,4,3,2,1
30,65,97,70,36,17,8,12,6,13,3,27,2,2,1,0,2,4,8,4,6,0,11,0,3,0,1,1,0,2,0,6,2,2,1
7,20,12,9,4,0,0,1,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,4,4,1
13,19,18,8,2,6,1,2,1,3,1,9,0,2,0,0,3,1,2,2,2,0,5,1,3,1,2,3,0,6,6,12,5,6,1
17,28,32,22,20,7,0,6,1,1,2,8,1,1,2,0,1,2,7,0,3,3,1,0,1,0,3,0,0,2,3,2,1,0,1
38,77,88,55,42,25,2,9,6,26,3,29,5,2,1,0,4,1,6,6,5,0,11,1,3,2,0,1,0,8,2,4,0,1,1
16,26,43,33,28,23,2,9,7,15,4,11,0,1,0,0,1,0,4,2,3,3,6,0,0,0,0,0,0,1,5,5,2,2,1
17,27,28,26,19,8,0,4,3,6,0,9,0,1,1,0,4,0,3,4,1,1,4,1,3,1,3,1,1,3,4,3,2,3,1
26,31,41,26,19,12,0,8,5,14,3,15,1,0,2,0,2,3,3,3,0,2,9,1,1,0,0,0,0,3,0,5,1,2,1
